,ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index,Years of life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income per capita,Endangered,Rank,Population,Government,Republic,Constitutional monarchy,Provisional,Absolute monarchy,% speakers
121,1164.0,Anal,India,IND,anm,Vulnerable,23000,24.1517,93.9385,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,1.6739157248919012e-05
122,1203.0,Juang,India,IND,jun,Definitely endangered,23000,21.0742,85.6164,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,1.6739157248919012e-05
123,1173.0,Tiwa,India,IND,lax,Definitely endangered,23000,25.7801,92.5927,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,1.6739157248919012e-05
124,1178.0,Mara,India,IND,mrh,Definitely endangered,22000,23.5237,92.9003,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,1.6011367803313837e-05
125,1157.0,Maring,India,IND,nng,Vulnerable,22000,24.6769,94.3835,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,1.6011367803313837e-05
126,1152.0,Khoirao,India,IND,nki,Vulnerable,20000,25.2198,94.1583,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,1.4555788912103488e-05
127,1185.0,Manchad,India,IND,lae,Vulnerable,20000,32.6578,77.5415,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,1.4555788912103488e-05
128,1187.0,Biete,India,IND,biu,Definitely endangered,19000,25.6514,93.2409,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,1.3827999466498313e-05
129,1189.0,Hrangkhol,India,IND,hra,Vulnerable,19000,24.1467,92.3071,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,1.3827999466498313e-05
130,1142.0,Pochuri,India,IND,npo,Vulnerable,17000,25.6712,94.779,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,1.2372420575287964e-05
