ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index(HDI-2019),Life expectancy at birth (years) SDG3,Expected years of schooling (years) SDG 4.3,Mean years of schooling (years) SDG 4.6,Gross national income (GNI) per capita (PPP $) SDG 8.5,Endangered,Rank,Population,Government
1203.0,Juang,India,IND,jun,Definitely endangered,23000.0,21.0742,85.6164,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1173.0,Tiwa,India,IND,lax,Definitely endangered,23000.0,25.7801,92.5927,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1178.0,Mara,India,IND,mrh,Definitely endangered,22000.0,23.5237,92.9003,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1157.0,Maring,India,IND,nng,Vulnerable,22000.0,24.6769,94.3835,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1152.0,Khoirao,India,IND,nki,Vulnerable,20000.0,25.2198,94.1583,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1185.0,Manchad,India,IND,lae,Vulnerable,20000.0,32.6578,77.5415,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1187.0,Biete,India,IND,biu,Definitely endangered,19000.0,25.6514,93.2409,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1189.0,Hrangkhol,India,IND,hra,Vulnerable,19000.0,24.1467,92.3071,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1142.0,Pochuri,India,IND,npo,Vulnerable,17000.0,25.6712,94.779,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1583.0,Koraga,India,IND,kfd,Critically endangered,16665.0,11.6952,75.6738,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1560.0,Pangvali,India,IND,pgg,Critically endangered,16285.0,33.4589,76.9152,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1180.0,Gangte,India,IND,gnb,Definitely endangered,15000.0,24.1968,93.587,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
